jmeno,rasa_puvodni,rasa,pohlavi_puvodni,pohlavi,pohlavi_doplnek,barva_vlasu_puvodni,barva_vlasu,sekundarni_barva_vlasu,barva_oci_puvodni,barva_oci,sekundarni_barva_oci,heterochromie,jezdec
Araenor,půlelf,půlelf,žena,žena,,hnědá,hnědá,,zelená/mátová,zelená,,,ano
Alistar,půlelf,půlelf,muž,muž,,černá,černá,,modrá/ocelově modrá,modrá,,,ano
Nimli,trpaslík,trpaslík,muž,muž,,bílá/šedobílá,bílá,,zelená/šedozelená,zelená,,,ano
Aiedail,elf,elf,žena,žena,,blond/bílá,blond,,zelená/smaragdová,zelená,,,ano
Johan,člověk,člověk,muž,muž,,černá,černá,,hnědá,hnědá,,,ano
Robin,člověk,člověk,muž,muž,,zrzavá,zrzavá,,zelená,zelená,,,ano
Kallerïs,elf,elf,muž,muž,,černá,černá,,modrá/zlatomodrá,modrá,zlatá,,ano
Seb,elf/lidská krev,elf,muž,muž,,zrzavá,zrzavá,,hnědá,hnědá,,,ano
Cha'relle,člověk,člověk,žena,žena,,bílá,bílá,,hnědá,hnědá,,,ano
Hati,člověk,člověk,muž,muž,,černá,černá,,hnědá/černá,hnědá,černá,,ano
Tarien,člověk,člověk,žena,žena,,blond,blond,,modrá/tmavě modrá,modrá,,,ano
Straka,půlelf,půlelf,žena,žena,,černá/černobílá,černá,bílá,modrá,modrá,,,ano
Walron,člověk,člověk,muž,muž,,hnědá,hnědá,,zelenohnědá,zelená,hnědá,,ano
Sellaurel,elf,elf,muž,muž,,hnědá,hnědá,,zelená,zelená,,,ano
Jannai,půlelf,půlelf,nb (afab),nb,afab,černá/černobílá,černá,bílá,hnědá,hnědá,,,ano
Ederan,člověk,člověk,muž,muž,,hnědá,hnědá,,hnědá,hnědá,,,ano
Yala,elf,elf,žena,žena,,hnědá/světle hnědá,hnědá,,zelená/smaragdová,zelená,,,ano
Liandri,urgal,urgal,žena,žena,,hnědá/tmavě hnědá,hnědá,,žlutá/světle žlutá,žlutá,,,ne
Tori,trpaslík,trpaslík,žena,žena,,zrzavá,zrzavá,,zelená/tyrkysová,zelená,,,ne
Daren,člověk,člověk,muž,muž,,černá,černá,,hnědé/tmavé,hnědá,,,ano
Fidoro,člověk,člověk,muž,muž,,černá,černá,,šedá,šedá,,,ne
Meeran,člověk,člověk,muž,muž,,blond/popelavá,blond,,hnědá,hnědá,,,ne
Zinbryn,trpaslík,trpaslík,muž,muž,,zrzavá,zrzavá,,neuvedeno,-,,,ne
Helva,člověk,člověk,žena,žena,,bílá/dříve hnědá,bílá,,oranžová/jantarová,oranžová,,,ne
Feon,půlelf,půlelf,muž,muž,,černá,černá,,heterochromie/zelená a fialová,heterochromie,,ano,ne
Gorgutz,urgal,urgal,muž,muž,,černá,černá,,oranžová,oranžová,,,ne
Threnai,člověk,člověk,žena,žena,,zrzavá/černozrzavá,zrzavá,,modrá,modrá,,,ne
Bisan,člověk,člověk,žena,žena,,hnědá/hnědočerná,hnědá,,hnědá/černá,hnědá,černá,,ne
Eiravel,půlelf,půlelf,muž,muž,,bílá,bílá,,modrá/ledově modrá,modrá,,,ne
Priya,člověk,člověk,žena,žena,,hnědá/kaštanová,hnědá,,zelená,zelená,,,ne
Iryen,člověk,člověk,žena,žena,,hnědá,hnědá,,zelená/světle zelená,zelená,,,ne
Ain,elf,elf,muž,muž,,zlatá/medová,zlatá,,zelená/smaragdová,zelená,,,ne
Ina,člověk,člověk,žena,žena,,černá,černá,,modrá,modrá,,,ne
Kieran,půlelf,půlelf,muž,muž,,blond/skoro šedá,blond,,zelená,zelená,,,ne
Ivar,člověk,člověk,muž,muž,,šedá,šedá,,modrá/šedomodrá,modrá,,,ne
Cytherea,člověk,člověk,žena,žena,,černá,černá,,hnědá/tmavě hnědá,hnědá,,,ano
Briari,člověk,člověk,muž,muž,,zrzavá,zrzavá,,modrá/barvínková,modrá,,,ne
Franz,člověk,člověk,muž,muž,,hnědá/světle hnědá,hnědá,,modrá/šedomodrá,modrá,,,ano
Marsaili,půlelf,půlelf,žena,žena,,blond/platinová,blond,,žlutá,žlutá,,,ne
Gaerion,elf,elf,žena,žena,,hnědá/hnědočerná,hnědá,,oranžová/jantarová,oranžová,,,ne
Torven,člověk,člověk,muž,muž,,hnědá,hnědá,,šedá,šedá,,,ne
Vidhi,půlelf,půlelf,muž,muž,,bílá,bílá,,růžová/stříbřitě šedá,růžová,stříbrná,,ne
Connor,člověk,člověk,muž,muž,,hnědá/hnědočerná,hnědá,,modrá,modrá,,,ne
Lettgar,trpaslík,trpaslík,žena,žena,,hnědá/hnědočerná,hnědá,,hnědá,hnědá,,,ne
Liliana,půlelf,půlelf,žena,žena,,hnědá/světle hnědá,hnědá,,modrá,modrá,,,ne
